"","word1","word2","freq"
"335","number","people",12
"336","one","can",12
"337","one","point",12
"338","please","follow",12
"339","really","dont",12
"340","really","want",12
"341","rt","i",12
"342","said","it",12
"343","six","months",12
"344","some","people",12
"345","something","else",12
"346","sounds","like",12
"347","stay","tuned",12
"348","there","many",12
"349","think","im",12
"350","this","time",12
"351","three","months",12
"352","time","year",12
"353","times","i",12
"354","trying","make",12
"355","we","want",12
"356","will","always",12
"357","will","keep",12
"358","will","see",12
"359","years","i",12
"360","you","cant",12
"361","a","lot",11
"362","across","country",11
"363","also","said",11
"364","anyone","else",11
"365","anything","else",11
"366","associated","press",11
"367","blog","i",11
"368","can","say",11
"369","can","tell",11
"370","days","i",11
"371","executive","director",11
"372","fact","i",11
"373","first","half",11
"374","general","manager",11
"375","going","back",11
"376","good","news",11
"377","good","time",11
"378","guess","i",11
"379","i","called",11
"380","i","even",11
"381","i","finally",11
"382","i","learned",11
"383","i","one",11
"384","i","sure",11
"385","im","getting",11
"386","im","ready",11
"387","its","just",11
"388","just","get",11
"389","just","i",11
"390","just","much",11
"391","know","can",11
"392","living","room",11
"393","months","ago",11
"394","one","things",11
"395","people","dont",11
"396","president","obama",11
"397","recent","years",11
"398","take","care",11
"399","take","time",11
"400","thanks","much",11
"401","the","man",11
"402","trying","get",11
"403","two","days",11
"404","us","district",11
"405","want","get",11
"406","way","get",11
"407","will","find",11
"408","will","give",11
"409","york","city",11
"410","you","will",11
"411","at","time",10
"412","best","way",10
"413","book","i",10
"414","brand","new",10
"415","can","take",10
"416","coming","back",10
"417","didnt","know",10
"418","didnt","want",10
"419","doesnt","want",10
"420","don’t","want",10
"421","dont","believe",10
"422","dont","get",10
"423","dont","really",10
"424","early","s",10
"425","even","know",10
"426","far","away",10
"427","first","i",10
"428","four","times",10
"429","get","better",10
"430","got","back",10
"431","great","day",10
"432","great","job",10
"433","grocery","store",10
"434","he","will",10
"435","health","insurance",10
"436","i","almost",10
"437","i","certainly",10
"438","i","expect",10
"439","i","live",10
"440","i","seen",10
"441","i","start",10
"442","i","stopped",10
"443","i","thinking",10
"444","i","won’t",10
"445","i","wouldnt",10
"446","i’m","going",10
"447","im","looking",10
"448","it","seems",10
"449","it","wasnt",10
"450","its","like",10
"451","join","us",10
"452","just","another",10
"453","just","let",10
"454","know","im",10
"455","last","fall",10
"456","like","lot",10
"457","little","time",10
"458","making","sure",10
"459","many","things",10
"460","mean","i",10
"461","means","i",10
"462","middle","school",10
"463","need","get",10
"464","new","england",10
"465","olive","oil",10
"466","one","person",10
"467","prime","minister",10
"468","really","really",10
"469","said","he",10
"470","said","its",10
"471","said","statement",10
"472","saturday","night",10
"473","so","far",10
"474","someone","else",10
"475","square","feet",10
"476","st","charles",10
"477","the","city",10
"478","the","whole",10
"479","there","will",10
"480","time","the",10
"481","told","us",10
"482","two","children",10
"483","unemployment","rate",10
"484","way","back",10
"485","yes","yes",10
